Name,Department,Rating,Difficulty,Would Take Again %,Total Ratings,Courses Taught,Review 1,Review 2,Review 3
"Abdelbaki Brahmia","Physics",4.2,3.1,71.6578,357,"116|202|203|203204|203ONLINE|204|204PHYS|211|227|230PHYS|EGP201|EGPHY202|EGPHYEGPH|EXGENPHY|EXGENPHY201|EXTEND750202|EXTENDGENPHYS|EXTENPHYS201|EXTGENPH|EXTGENPHY202|EXTGENPHYS|EXTPH203|EXTPHY201|EXTPHY202|EXTPHYS|GEN203|GEN203204|GENERALPHYSICS|GENPHYS203|GENPHYS203204|GENPHYS204|GENPHYSICS|GENPHYSICS2|GENPHYSICS203|GEPYS201|PHY115|PHY2|PHY201|PHY201202|PHY202|PHY203|PHY203204|PHY204|PHYB5|PHYS|PHYS101|PHYS20|PHYS201|PHYS202|PHYS203|PHYS2034|PHYS204|PHYS205|PHYSI20|PHYSI203|PHYSI204|PHYSICS|PHYSICS201|PHYSICS203|PHYSICS203204|PHYSICS204|PSY204|PSYCH3333|PYS202|RGF","Q:3/D:5/G:C- — I took Physics 203 (asynchronous) with no prior physics experience and earned a C. This is a difficult course that requires a lot of effort. I recommend taking it in person if possible. Homework and recitation quizzes were manageable, but exams were challenging. Lectures were clear and organized, an","Q:5/D:2/G:A+ — Professor Brahmia teaches physics really well. Recitations and lab depend on your TA. His lecture videos and questions really help. Tests count for a lot tho","Q:4/D:4/G:A — Chill guy, lecture vids are good and the exams are set up to be as fair as possible. If you put in the work and can confidently answer any of the homework and recitation questions you will be fine for exams. Doesn't change the fact that the course itself is tough but definitely not his fault."
"Geeta Govindarajoo","Chemistry",2.8,3.7,15.1515,296,"160311|161|161162|307|308|311|CHEM1|CHEM101|CHEM1161|CHEM126|CHEM161|CHEM163|CHEM18|CHEM19|CHEM307|CHEM308|CHEM311|CHEM370|CHEMOFART126|CHM307|CHM311|GENCHEM|GENCHEMISTRY|OCHEM307|OCHEM311|ORG307|ORGANICCHEM|ORGANICCHEMII|ORGCHEM|ORGCHEMLAB|ORGO|ORGO1|ORGO301|ORGO307|ORGO311|ORGOI|ORGOLAB|ORGOLAB311","Q:1/D:4/G:A — The course structure is a mess. You have to switch between so many different documents just to complete assignments, her notes are disorganized and all over the place, and the in-person lectures are pointless. The experiments are interesting but way too much busy work. Quizzes and the exam were stre","Q:1/D:3/G:Not sure yet — Since this prof is your only choice, prepare for a workload that feels disproportionate to 2 credits. It is not difficult, but expect a high volume of busy work compared to other Rutgers gen science labs. Lecture outlines are often disorganized with many typos and formatting issues. Bring patience! ","Q:5/D:3/G:B+ — Avg for the lab is a B+/A. Anyone who has below that had to purposely aim for it. Its busy work but everything is online and open book even the exam. No reason to fail it get below the avg. Bonus the class ends a few weeks before everything else does."
"Sesh Venugopal","Computer Science",3.1,3.8,45.3704,200,"111|111112|112336|122|198112|CA112|COMP112|CS|CS111|CS112|CS112336|CS113|CS210|CS213|CS336|CSF|DATASTRUCTURES","Q:1/D:5/G:B+ — I took both 213 and 210 and theyre both sad excuses for cs classes. The prof uses AI to teach, students use AI to cheat, and no one gets punished. Academic honesty will not be rewarded so u might as well cheat. He shouldve retired earlier. I swear these profs at Rutgers are such a joke that they sho","Q:1/D:5/G:Not sure yet — The professor uses AI for everything, his projects are very confusing, the exams are inconsistent with what he teaches us, plus there is no curve and the grading is really harsh.","Q:1/D:5/G:B+ — First of all there was no actual teaching. He used AI the entire semester to teach us. 3 exams and 3 projects to grade. And all the projects have vague information and no clear instructions. You will get stuck figuring out how to proceed and connect your 1st step to the other. You will never be prep"
"Manese Rabeony","Science",4.2,2.8,90.6977,175,"134|159|162|164|CHEM|CHEM102|CHEM133|CHEM133134|CHEM134|CHEM159|CHEM160|CHEM161|CHEM161162|CHEM162|CHEM164|CHEMCHEM|CHEMISTRY160|CHM162|ENGCHEM|GENCHEM|INTROCHEM|INTROCHEM133|INTROCHEM134|INTROTOCHEM|PREPC134|PREPFOR161|SGCHEMTA|TUTOR","Q:3/D:3/G:C+ — I took Chem 161 with no prior chemistry background. This is a challenging course that requires consistent studying outside of class. Study guides matched the exam material well, and lectures were helpful when staying engaged throughout the semester. I also recommend purchasing the study material for","Q:4/D:3/G:B — such a nice guy! i ended up taking chem 1 with him during the off szn bc i had to drop it fall sem and it was the best choice i could have made. he is so nice and you can tell he wants you to do well. he posts a lot of practice problems, and exams tend to be very similar to practice ones he makes. o","Q:3/D:5/G:B+ — Very passionate about chemistry and explains topics in ways no one else would. Slow pace, a little too slow, and not very thorough. He skips over topics to elaborate on others, just for whatever is interesting to talk about. Very kind"
"Savita Sahay","Accounting",2.5,4.3,26.1905,172,"451|ACC272|ACC275|ACC451|ACCT275|ACT451|COST451|MA|MANACCT|MANAGERIAL|MANAGERIAL275|MANAGERIALACC|MANAGERIALACCT|MANGERIALACCT|MNGAC2|MNGRL|MNGRLACC|MNGRLACCT|MNGRLACNTNG|WINMGRL275","Q:5/D:3/G:A — cost is easy watch the recitation videos","Q:2/D:5/G:A — An A in Financial/Managerial accounting DOES NOT mean an an A in cost. Although ik some people did better in this class, don't expect a high grade. She crashes at people from time to time too","Q:1/D:5/G:Drop/Withdrawal — pray to any god u believe in, if u think these ratings are bad shes worse, she can barely speak proper english makes up her own equations, mean, rude, agressive, i don't know why shes not fired already."
"Janos Pinter","Business",2.6,4.1,38.5542,82,"BAIT388|BAIT405|BDAU400|BDAUU111|BDAUU400|BUS400","Q:5/D:3/G:A+ — I took the class async. My biggest piece of advice is to USE OFFICE HOURS. He genuinely wants to help and will take the time to answer any questions you have. The course is based on critical thinking, so dont expect to just memorize information and move on. You have to be willing to think through pr","Q:3/D:3/G:B+ — turned all in person sections to be fully online with all exams being online as well. took FOREVER to grade assignments and mid terms (only one homework was graded by the time the withdrawal period was ending). he does hold daily office hours for help where you can ask questions though and he is hel","Q:5/D:3/G:A — Dr. Pinter's course is challenging, but it's also one of the more valuable classes I took. The material focuses heavily on applying analytical thinking to real-world decision-making, which is relevant for anyone interested in analytics. Overall, I'd recommend the class to students who are serious ab"
"Mai Soliman","Genetics",3.5,3.7,58.9744,78,"GEN380|GENETICS380|GENETICS447|MICROBIO390","Q:4/D:4/G:A+ — Professor Soliman was VERY upfront about material on the exams, dropped hints at office hours/lecture, recitation/lecture problems would show up word for word, etc. Hosted review sessions a few days before the exam, ask questions/what to go over.  Beyond that, this class was AP Bio Review + some add","Q:5/D:2/G:A — Amazing class!  So fun, just understand every problem she goes over","Q:1/D:5/G:C+ — extremely hard exams that she does not go over properly, extremely mean professor, and does not teach material properly. take the other genetics professor at rutgers instead if possible"
"Joann Messina","English",4.5,3.9,84.4444,68,"101GL|ENG201|ENG302|ENG303|ENG355|ENGMJ|EXPOS101|EXPOS101GL|EXPOS9|EXPOSEF|EXPOSMD|EXPOSNB|LEGALWRITING|RESINDIS201|SCITECH|SCITECH4|SCITECHWRITING","Q:5/D:4/G:A+ — Take. This. Class. Fully individualized learning and writing depending on your major, allowing lots of creative freedom. Yes this class is a lot of work, but the reward pays off. You will learn so much about your field of interest, on top of gaining incredible writing skills. Even better, Messina is","Q:5/D:4/G:A — Joann Messina is a great professor who was the only teacher I've had who flat-out taught how to write for both class and real-world. I've had her twice, and I always take advantage of her feedback, since it'll usually bring you up a whole letter or two. I will say though that she is brutally honest ","Q:5/D:3/G:A — This was a really useful class because it teaches you about research and writing, but also about practical things like how to actually write a good resume and cover letter. I also learned more about networking and presenting yourself professionally. I thought it was pretty good. The professor shared"
"Malcolm Bowles","Mathematics",4.9,2.6,100,67,"CALC151|CALC152|MATH123|MATH158|MATH421","Q:5/D:3/G:B — Prof. Bowles is the GOAT. He explains Calc 2 clearly and makes the course manageable. He provides notes and practice versions of the midterms and final, which are very helpful. Attend his lectures and office hours&#8212;they make a big difference. Also,TA Jose Sona's recitations weren't very helpful","Q:5/D:2/G:Not sure yet — Love him! Rutgers you better keep Mr. Bowles as long as you can on the contract! Amazing, caring and responsive! You will be at a good position by having him. Professors, like Mr. Bowles, will never ever get replace by AI, but the instructors that came alongside him(Jose Sosa- eww) should be worried","Q:5/D:2/G:B+ — I expected torture but it wasnt, dare I say I enjoyed math for once in a long time. But dont fall behind and slack off, calc is not something you wanna be behind on. Really organized and is there to actually help you learn. If you have the option please do it."
"Mehmet Turkoz","Business",4.8,2.6,98.2143,55,"494DATAMINING|623-311POM|BAIT388|BF608|BSRM|CS92|FBP388|FOUN388|FOUNDATIONS388|MIS|OPSMNGT386|TIME136","Q:5/D:2/G:A+ — Class is graded from 4 midterms (15% each) and a final. Online and take-home for all, very much appreciated. There were retake tests if needed to totally replace the old grade. Amazing guy, I'm taking him for MIS in the fall. Take Stats Meth with him for sure!","Q:5/D:1/G:A — Class is graded from 4 midterms (15% each) and a final. Online and take-home for all, very much appreciated. There were retake tests if needed to totally replace the old grade. Amazing guy, my TA was also great. Hoping to take him for MIS","Q:5/D:3/G:Not sure yet — He is truly amazing. A professor who is truly understanding. Take him, he is very realistic and prepares you for your future, and helps you walk away learning many things."
"Ron Richter","Finance",3.7,3.4,60,53,"3903|CPTWRKMGT|CS323|FIN203|FIN300|FIN310|FIN430|FINANCE430|FINANH1|INFIN1|PFP390|TM430|WCM430|WKGCAP|WORKINCAP|WORKINGCAP|WORKINGCAPITAL","Q:5/D:2/G:A+ — Took for planning financial management not a requirement. Online exams on canvas.","Q:3/D:5/G:B+ — Lots of homework, very bad group project, and tests are very hard. However, he's nice and accessible out of class.","Q:4/D:4/G:B+ — great lectures and the prof cares what he is teaching about but, as a non finance major, i found the class boring and extremely homework heavy. dedicating atleast 5 hours to every lecture is a bare minimum but i thought hes a chill guy. tests are through lockdown and you have to be in a zoom with ca"
"Ahmed Albrolisy","Finance",4.6,3.2,86,49,"DERIVATIVES|FINANCE|INVANALYSIS","Q:5/D:4/G:B+ — Albrolisy is excellent lecturer and his class is very informative test was was fair and from his slides. do focus on practice problems during class.  I learn a lot from his class beyond textbook highly recommended.","Q:2/D:5/G:N/A — do not take his exams are so hard please do yourself a favor","Q:1/D:5/G:C+ — DO NOT TAKE this was the hardest class I've taken at RBS. Took him for financial management thinking the class would be fine since he has a good rating, was completely wrong. He's a nice guy, but exams were SO hard and nothing like what he taught in class. I've never gotten a C in my life before, fi"
"Matthew Sequin","Mathematics",4.5,2.9,91.6667,46,"244DIFFEQ|477|640244|INTROLINEAR|INTROTOLINEAR|MA101|MA247|MATH101|MATH130|MATH135|MATH151|MATH152|MATH244|MATH477","Q:5/D:3/G:B — Great professor. I took Calculus I (MATH151) with no prior calculus experience and earned a B. Lectures were clear and balanced concepts with examples. Exams closely followed the study guides, and review sessions before midterms were very helpful. The pace was reasonable. Highly recommend Prof. Sequ","Q:5/D:2/G:A+ — Sequin is a solid professor. Lectures can be dull at times but he gets the job done. He makes sure that you understand the concepts and the nuances behind them. Calc 2 is honestly not too difficult of a class as long as you pay good attention to his lectures and do some practice outside of class.","Q:5/D:2/G:A — He is an amazing professor who cares about his students. He will answer every question with no judgment. Gives good examples and explains clearly. Prepares you very well for exams."
"Andrew Goldstone","English",4.2,3.3,45.4545,15,"20THCENTURYLIT|350437|359201|359202|ENG220|ENG355|HONORSPROSE202","Q:3/D:4/G:N/A — Trust me, he makes you read a lot and assigns long essays. He's also quite harsh when grading. I didn't find his feedback helpful in improving my writing. We read many books, but we only spend a few days discussing each one, so we barely talk about it afterward.","Q:3/D:3/G:B — He was nice and passionate about what he was teaching. However, he does not give a lot of assignments, and he is very stingy with his As. He would give a lot of high 80s but never an A, and I didn't find his feedback very helpful; I wish he was more straightforward with what he was looking for.","Q:5/D:3/G:A — super nice and understanding! i had him for princ of lit and he cares for what students have to say and often provides extremely thoughtful insight. he really encourages students to speak their minds on the readings. if you are a bit socially anxious you shld know that he does cold call so be prepar"
"Sang Hyuk Lee","Physics",2,4.4,27.2727,12,"750-227","Q:1/D:4/G:A — He's just not a good teacher, slides are very confusing and easy to get lost in. If you can self teach you're completely fine. His exams are normal difficulty, But yeah, just not good at teaching at all.","Q:1/D:4/G:B+ — I attended every lecture but retained very little from the class. Lectures were too short to work through examples or explain concepts in depth. Exams were very difficult, though the grading curve helped. I'd recommend maximizing attendance, homework, and recitation points since they had a large imp","Q:1/D:5/G:A — Just not a great teacher. That's my main issue with him. But if you can self teach yourself the stuff you'll be fine."
"Gabriella D'Arcangelo","Cell Biology  Neuroanatomy",4.9,2.3,87.5,7,"ADVCB470|ADVCELL470|CELLBIO270|PROTEINDYN481","Q:4/D:2/G:A — Really kind and supportive professor, but lectures are monotone and a bit boring. Exam questions are straight from the slides, but there are a lot of fine details that are not tested. Really appreciate how she gives a summary document of the overall ideas and concepts from each lecture. It is clear ","Q:5/D:1/G:A — The class is really fair and easy. She is extremely nice and caring. Three exams, and the last one is not cumulative, a very easy CBN elective.","Q:5/D:2/G:A — She is an incredible professor that I would highly recommend to anybody out there. She is clear, organized, and straightforward. The exams are extremely fair as there are no curveballs. She is a very nice person. Available outside of class, so take advantage and ask questions to clear up concepts."
"Rina  Bliss","Sociology",5,1.3,100,7,"SOC210|SOC307","Q:5/D:1/G:A — Amazing class! The workload is not heavy, and grading is quite lenient. Would take any class taught by this professor. The instructor is very supportive and highlights the main points you should pay attention to in the readings/videos. Topics are pretty general, but I learned a lot from engaging wit","Q:5/D:1/G:A+ — this class was extremely do-able. if you're looking for something to add onto your schedule and not stress you out, I recommend this one! you literally only have 3 things to do for the entirety of the semester it's amazing. I hope she never changes.","Q:5/D:1/G:A — Simple format, highly recommend."
"Kelvin Kwan","Cell Biology amp Neuroanatomy",5,1.5,100,4,"ADVCELL470|PAINADD465","Q:5/D:2/G:A — The other professor who teaches this class was good, but Kwan is excellent. Clear and insightful lectures with a really supportive classroom environment. Exam questions are not too hard and are directly from the slides. Really enjoyed the live demonstrations he did. He shows a lot of passion for the","Q:5/D:1/G:A — so awesome! He definitely knows his stuff, and he keeps lectures light-hearted. very attentive and caring. super easy exam. his module was kinda repetitive but i still learned a lot. definitely recommend for people that want a cool class that isnt stressful at all.","Q:5/D:1/G:A — Very good professor, his lectures are very easy to understand and his exam was super clear.  Just go over the notes and you'll do well.  He really knows his stuff. GOAT status"
"Max Tischfield","Cell Biology & Neuroanatomy",5,3.7,100,3,"ADVCELLBIO2|ADVTPCS464|PROTEINDYN481","Q:5/D:4/G:A — Professor Tischfield is an excellent instructor. His lectures are clear, engaging, and full of insight, and he explains complex material in a way that is easy to follow. The exam questions require careful thinking, but if you study consistently and prepare well ahead of time, you will be well prepar","Q:5/D:3/G:A — The exams are hard, and the lectures are very content-heavy, but the lectures were super helpful. The slides are well-organized and make studying for the exams easy. The exams themselves were really not that bad. The open-book online quizzes make up 40% of your grade so thats a huge help","Q:5/D:4/G:A — He is a great professor. He explains complex cellular processes very well. His module was one of the more difficult ones due to the amount of information, but his exam was fair. He expects you to know the basic concepts very well and the details of each step of a process. Study his lectures thorough"
"Jenny Roberts","Business",5,1,100,3,"BYB302|FCJ301","Q:5/D:1/G:A — I took her this semester. She is one of the most kindest and caring professors out there. It's an easy A and she made the class nice to go to. I would 100% recommend taking her for classes.","Q:5/D:1/G:N/A — Super straightforward required class. She makes everything clear, and as long as you do the work on time and show up, it is impossible to get below an A. There are guest speakers most weeks who provide valuable information as well.","Q:5/D:1/G:A — Easy class with weekly speakers and a couple of easy assignments, and just one online mock interview that accounts for a bulk of your grade."
"Santiago Cuesta","Cell Biology & Neuroanatomy",4.5,2,100,2,"PAINADD465","Q:4/D:2/G:A — Really kind professor and exam questions are not too hard, just a little more memorization based. Goes a little fast at times, so raise your hand in class so he can reexplain concepts and repeat what he said if you missed it. Really fun class overall, not too stressful. Exam questions come from the ","Q:5/D:1/G:A — Amazing professor. He'll stay back to answer any questions you have, but his lectures itself are more than enough.","Q:4/D:3/G:Not sure yet — Prof. Cuesta is great! Very knowledgable lectures, he tries to explain everything very well. Participation question after every class, 3 quizzes are pretty easy. Tells you what he expects you to know for exam. Exam is very fair if you study what he says. Important to understand key concepts/big pict"
"Michelle Hurst","Psychology",0,0,100,0,"INFCHDDEV331","Q:4/D:2/G:A — Instructor is very kind and supportive, and the content is not that hard to understand. Lectures can get boring at times. Attendance is mandatory even though the material can be self-studied. Exam questions are easy and pulled straight from the slides. Only tricky part is having to keep track of spe","",""
"Warren Allen","Information Tech. & Informatics",3.2,3.6,62.0253,158,"IT103|ITI103|ITI201|ITI202|ITI476|SU21","Q:5/D:4/G:Not sure yet — Decent class and cool guy. Maybe hrard if you haven't coded before. Just study hard and remember to comment your code and youll be okay.","Q:4/D:4/G:Not sure yet — Lots of coding in this class so be ready for that. Not a super easy course but not hard to pass.","Q:3/D:5/G:B — I am not a computer or IT major so this was a bit hard to learn Python, but I liked it and he's a nice guy when you talk to him. Not easy or flexible but interesting."
"Ioanna Mavrea","Mathematics",3.3,3.4,58.6207,126,"CALC1|CALC103|CALC135|CALC151|CALC152|CALC251|CLAC152|GRAPHTHEORY|MAT152|MAT251|MAT300|MATH104|MATH115|MATH135|MATH136|MATH151|MATH152|MATH244|MATH251|MATH300|MTH251|PRECALC111|PROB104","Q:5/D:4/G:A — I received an A in her graph theory course. An amazing course! I would recommend people take it with her. Pay attention to the lecture. DO NOT UNDERESTIMATE THIS COURSE. Many people taking this course are CS majors and lack practical experience. So be prepared to prove when asked.","Q:5/D:2/G:A — amazing teacher, made the class so easy, just go to lecture (there's extra credit) and go to her review sessions. definitely recommend","Q:1/D:3/G:Not sure yet — teaches by doing the problems on the board with minor explanation for concepts. Typical day includes several problems that students answer parts of while she swiftly completes it. EOD the class participates in group work. - during class time students lose credit for incorrect answers."
"Sophia Gonet","Mathematics",3.6,3.2,68.1818,66,"MATH026|MATH111|MATH135","Q:5/D:3/G:B — love her!! she made such a challenging class so easy to understand. her lectures are amazing and i do not think i would have done so well if it was not for her teaching. she can be intimidating at times but she is really nice and you can tell she wants you to succeed. she is the best option for calc","Q:5/D:2/G:A — absolutely take dr. gonet! i ended up having to retake calc and chose her as my new prof and it was the best decision. everything had suddenly clicked with her. her lectures are very detailed and her explanations are SO helpful. she does a great job on teaching challenging concepts & she's so caring","Q:5/D:3/G:Not sure yet — Dr. Gonet's lectures consist of her doing some example problems on the board, but she goes really in-depth. She is great at explaining hard topics as clearly and simply as possible. Recitation quizzes are easy, but her explanations for harsh grading can seem dry at first. However, she grows on you, "
"Jamie Pietruska","History",4.4,2.4,78.0488,48,"ACCDIS235|AD235|ARTSCI292|HIS104|HIS235|HIS304|HIS329|HIST105|HIST233|HIST237|HIST304|HISTORY104|IHS|USDEVII|USDEVII104|USHIST237","Q:1/D:4/G:Rather not say — Would not take again. This was easily one of the most frustrating classes I took at Rutgers. The grading felt extremely harsh, and it often seemed like the professor was more interested in finding faults in student work than helping students improve. Will accuse you of using AI with no proof at all.","Q:5/D:3/G:A — Professor Pietruska is great, she truly cares about her students. Get ready to read and make sure to use a lot of citations from the modules. Don't use AI and you'll be fine.","Q:5/D:2/G:A — She is a great professor, I took History of the Future an asynch class so she had a few hard rules. Not using AI and meeting the criteria (which was outlined in every module). You had 10 days to complete a module (which takes around an hour) and 5 day grace period in every module. She is also genero"
"Tara Cominski","Cell Biology & Neuroanatomy",3.9,2.5,70.8333,24,"BMB|ESSENTIALS","Q:2/D:4/G:B — only take this class if neccessary. took it for a degree requirement and it ended up being so much harder than expected for a 200 level class. grades mostly depend on exams (which are hard) & an A is 92+ (which is unfair imo given the difficulty). lecture slides are wordy & long. she is nice but def","Q:4/D:2/G:A — Dr. Cominski is very knowledgable. She talks really fast, so sometimes I felt lost in lectures. There are in-class activities almost every lecture, so it forces u to go to class. There are 3 exams, and they get more difficult as you go on.","Q:5/D:2/G:A — Class was completely open notes. Final exam was a group project video presentation and an indenpendent article piece. Quizzes were based off the lecture slides and you are allowed to write your notes on a flashcard. No tests."
